ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
20090710,가마고지라는 옛지명 활용,20,Gamasan-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20090710,20141030224632,대림동 777-1,1,100,신길동 699,가마산로,3000023,3.00000000,5898.00000000,3,11560,1
20090710,가마고지라는 옛지명 활용,20,Gamasan-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20090710,20141030224632,대림동 777-1,1,102,신길동 699,가마산로,3000023,2.00000000,5898.00000000,3,11560,1
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,21,Dosin-ro 54-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 159-6,1,103,신길동 201-45,도신로54길,4154341,6.00000000,85.00000000,4,11560,3
20100520,선유로에서 분기되는 도로로 해당 일련번호 활용,22,Seonyu-ro 43-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,양평동3가 82,0,104,양평동3가 96-1,선유로43길,4154448,8.00000000,421.00000000,4,11560,3
20100520,영등포로에서 분기되는 도로로 해당 일련번호 활용,21,Yeongdeungpo-ro 84-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,신길동 469-1,1,105,신길동 456-53,영등포로84길,4154752,6.00000000,20.00000000,4,11560,3
20100520,당산로에서 분기되는 도로로 해당 일련번호 활용,21,Dangsan-ro 36-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224642,당산동4가 94-1,1,106,당산동4가 32-107,당산로36길,4154114,4.00000000,98.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 61-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 349-20,1,2597,신길동 296-12,가마산로61길,4154019,7.00000000,34.00000000,4,11560,3
20100520,경인로에서 분기되는 도로로 해당 일련번호 활용,20,Gyeongin-ro 77ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224642,문래동2가 27,1,2236,문래동2가 34-6,경인로77가길,4154051,6.00000000,17.00000000,4,11560,3
20100520,대방천 명칭 인용,20,Daebangcheon-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224643,도림동 820,1,109,신길동 4214,대방천로,3118005,4.00000000,100.00000000,3,11560,3
20100520,신풍로에서 분기되는 도로로 해당 일련번호 활용,21,Sinpung-ro 25ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,신길동 591,1,2967,신길동 1488,신풍로25가길,4154582,3.00000000,16.00000000,4,11560,3
20100520,도림로에서 분기되는 도로로 해당 일련번호 활용,21,Dorim-ro 48-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224644,대림동 700,1,2968,대림동 700-5,도림로48길,4154255,6.00000000,14.00000000,4,11560,3
20100520,신풍로에서 분기되는 도로로 해당 일련번호 활용,21,Sinpung-ro 19ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,신길동 1537,1,2970,신길동 1447,신풍로19가길,4154576,3.00000000,75.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,21,Dosin-ro 54-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 159-6,1,2973,신길동 201-45,도신로54길,4154341,6.00000000,64.00000000,4,11560,3
20100520,영중로에서 분기되는 도로로 해당 일련번호 활용,21,Yeongjung-ro 6-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224651,영등포동3가 9,0,2974,영등포동3가 23-9,영중로6길,4154816,6.00000000,301.00000000,4,11560,3
20100520,양평로에서 분기되는 도로로 해당 일련번호 활용,20,Yangpyeong-ro 28ra-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,양평동6가 13-6,0,2975,양평동6가 15,양평로28라길,4154826,6.00000000,117.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,19,Dosin-ro 47ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 192-53,1,2977,신길동 190-149,도신로47가길,4154333,3.00000000,60.00000000,4,11560,3
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 80-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 1828,1,2979,신길동 240-10,가마산로80길,4154033,4.00000000,61.00000000,4,11560,3
20100520,양평로에서 분기되는 도로로 해당 일련번호 활용,20,Yangpyeong-ro 30ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224649,양평동6가 4-2,0,2980,양평동6가 24,양평로30가길,4154636,8.00000000,288.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,19,Singil-ro 23da-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 337-119,1,2981,신길동 339-24,신길로23다길,4154499,8.00000000,20.00000000,4,11560,3
20100520,대방천 명칭 인용,20,Daebangcheon-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224643,도림동 820,1,1556,신길동 4214,대방천로,3118005,3.00000000,53.00000000,3,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,19,Dosin-ro 8ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,대림동 605-31,0,833,대림동 605-42,도신로8가길,4154353,5.00000000,165.00000000,4,11560,3
20100520,도림로에서 분기되는 도로로 해당 일련번호 활용,21,Dorim-ro 65-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224644,신길동 435-14,0,836,신길동 417-65,도림로65길,4154278,4.00000000,141.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,21,Singil-ro 39-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 233-1,1,838,신길동 318-9,신길로39길,4154526,8.00000000,38.00000000,4,11560,3
20100520,대림로에서 분기되는 도로로 해당 일련번호 활용,20,Daerim-ro 46-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224643,대림동 651,0,3353,대림동 651-4,대림로46길,4154188,10.00000000,138.00000000,4,11560,3
20100520,양산로에서 분기되는 도로로 해당 일련번호 활용,20,Yangsan-ro 35-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224648,영등포동7가 24-2,0,1572,영등포동7가 37-1,양산로35길,4154597,6.00000000,153.00000000,4,11560,3
20100520,당산로에서 분기되는 도로로 해당 일련번호 활용,21,Dangsan-ro 44-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224642,당산동5가 11-34,0,1573,당산동5가 11-47,당산로44길,4154122,4.00000000,417.00000000,4,11560,3
20100520,대방천 명칭 인용,20,Daebangcheon-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224643,도림동 820,1,3355,신길동 4214,대방천로,3118005,2.00000000,240.00000000,3,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,20,Singil-ro 28-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3483,1,1575,신길동 2015,신길로28길,4154504,10.00000000,24.00000000,4,11560,3
20100520,여의도를 일주하는 여의둑의 동쪽 도로,20,Yeouidong-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224650,여의도동 28-3,0,3356,여의도동 20,여의동로,3118020,20.00000000,3793.00000000,3,11560,3
20100520,서울국제금융센터와 접한 도로,20,Gukjegeumyung-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224642,여의도동 23-1,1,3358,여의도동 5-8,국제금융로,3118002,7.00000000,66.00000000,3,11560,3
